"name","type","latitude","longitude","index"
"4VN","NAFO",45.8,-59.6,1
"4VN","NAFO",45.8,-57.8,2
"4VN","NAFO",46,-58,3
"4VN","NAFO",46.2,-58.4,4
"4VN","NAFO",46.4,-58.8,5
"4VN","NAFO",46.6,-59,6
"4VN","NAFO",46.8,-59.4,7
"4VN","NAFO",47,-59.8,8
"4VN","NAFO",47.2,-60,9
"4VN","NAFO",47.2,-60.4,10
"4VN","NAFO",47,-60.2,11
"4VN","NAFO",46.6,-60.2,12
"4VN","NAFO",46.7,-60,13
"4VN","NAFO",46.7,-59.6,14
"4VN","NAFO",46.4,-59.6,15
"4VN","NAFO",46.2,-59,16
"4VN","NAFO",46,-59,17
"4VS","NAFO",43.8,-59,1
"4VS","NAFO",44,-58.6,2
"4VS","NAFO",44.2,-57.8,3
"4VS","NAFO",44.4,-57.2,4
"4VS","NAFO",44.6,-57,5
"4VS","NAFO",45.2,-57,6
"4VS","NAFO",45.4,-57.4,7
"4VS","NAFO",45.6,-57.6,8
"4VS","NAFO",45.6,-60,9
"4VS","NAFO",44.2,-60,10
"4VS","NAFO",44.2,-59,11
"4W","NAFO",42.8,-63.2,1
"4W","NAFO",42.8,-62.6,2
"4W","NAFO",43,-61.6,3
"4W","NAFO",43.2,-61,4
"4W","NAFO",43.4,-60.2,5
"4W","NAFO",43.6,-59.6,6
"4W","NAFO",43.8,-59.2,7
"4W","NAFO",44,-59.2,8
"4W","NAFO",44,-60.2,9
"4W","NAFO",45.6,-60.2,10
"4W","NAFO",45.4,-60.4,11
"4W","NAFO",45,-61.2,12
"4W","NAFO",44.8,-61.8,13
"4W","NAFO",44.6,-62.6,14
"4W","NAFO",44.4,-63.2,15
"4W","NAFO",44.4,-63.4,16
"4W","NAFO",44.2,-63.2,17
"4X","NAFO",42.2,-65.8,1
"4X","NAFO",42.2,-65.2,2
"4X","NAFO",42.4,-64.8,3
"4X","NAFO",42.6,-64.4,4
"4X","NAFO",42.8,-63.4,5
"4X","NAFO",44.2,-63.4,6
"4X","NAFO",44.2,-64,7
"4X","NAFO",44,-64.2,8
"4X","NAFO",43.8,-64.4,9
"4X","NAFO",43.6,-64.8,10
"4X","NAFO",43.4,-65.2,11
"4X","NAFO",43,-65.4,12
"4X","NAFO",43,-66.6,13
"4X","NAFO",44,-66.6,14
"4X","NAFO",44.2,-66.8,15
"4X","NAFO",44.4,-66.4,16
"4X","NAFO",44.6,-66.2,17
"4X","NAFO",44.6,-66.4,18
"4X","NAFO",44.4,-66.6,19
"4X","NAFO",44.2,-67,20
"4X","NAFO",44,-67.2,21
"4X","NAFO",43.8,-67.2,22
"4X","NAFO",43.6,-67.4,23
"4X","NAFO",43.2,-67.4,24
"4X","NAFO",43,-67.6,25
"4X","NAFO",42.8,-67.4,26
"4X","NAFO",42.6,-67.2,27
"4X","NAFO",42.4,-67,28
"4X","NAFO",42.4,-66,29
