record,sname,lname
1,BBL1,Browns Bank 1
2,BBL2,Browns Bank 2
3,BBL3,Browns Bank 3
4,BBL4,Browns Bank 4
5,BBL5,Browns Bank 5
6,BBL6,Browns Bank 6
7,BBL7,Browns Bank 7
8,HL1,Halifax 1
9,HL2,Halifax 2
10,HL3,Halifax 3
11,HL4,Halifax 4
12,HL5,Halifax 5
13,HL6,Halifax 6
14,HL7,Halifax 7
15,LL1,Louisbourg 1
16,LL2,Louisbourg 2
17,LL3,Louisbourg 3
18,LL4,Louisbourg 4
19,LL5,Louisbourg 5
20,LL6,Louisbourg 6
21,LL7,Louisbourg 7
22,LL8,Louisbourg 8
23,LL9,Louisbourg 9
24,CSL1,Cabot Strait 1
25,CSL2,Cabot Strait 2
26,CSL3,Cabot Strait 3
27,CSL4,Cabot Strait 4
28,CSL5,Cabot Strait 5
29,CSL6,Cabot Strait 6
