record,vertice,latitude,longitude
1,1,45.78,-60.25
1,2,46.38,-59.03
1,3,47.0033,-59.825
1,4,46.925,-59.9333
1,5,46.625,-60.35
2,1,47.0033,-59.825
2,2,47.2383,-59.4917
2,3,46.05,-57.8
2,4,45.82,-58.2
2,5,46.38,-59.03
3,1,46.05,-57.8
3,2,44.68,-56.25
3,3,44.45,-57.06
3,4,45.12,-57.6
3,5,45.82,-58.2
4,1,45.12,-57.6
4,2,44.45,-57.06
4,3,43.91,-58.88
4,4,44.42,-59.21
4,5,44.44,-60
4,6,44.66,-60
4,7,44.53,-59.35
5,1,46.02,-58.5
5,2,45.82,-58.2
5,3,45.12,-57.6
5,4,44.53,-59.35
5,5,44.66,-60
5,6,45.41,-60
6,1,46.38,-59.03
6,2,46.02,-58.5
6,3,45.41,-60
6,4,44.8,-61.4
6,5,45.02,-61.73
7,1,44.8,-61.4
7,2,45.41,-60
7,3,44.44,-60
7,4,44.25,-60.5
7,5,44.35,-61
8,1,44.44,-60
8,2,44.42,-59.21
8,3,43.91,-58.88
8,4,43.9,-58.97
8,5,44.25,-60.5
9,1,44.35,-61
9,2,44.25,-60.5
9,3,43.9,-58.97
9,4,43.3,-61
10,1,44.35,-61
10,2,43.3,-61
10,3,43.01,-61.82
10,4,42.96,-62.2
10,5,43.7,-62.15
11,1,43.71,-62.56
11,2,43.7,-62.15
11,3,42.96,-62.2
11,4,42.91,-62.77
11,5,43.45,-62.75
12,1,44.8,-61.4
12,2,44.35,-61
12,3,43.7,-62.15
12,4,43.71,-62.56
12,5,43.45,-62.75
12,6,43.32,-63.63
12,7,44.21,-63.07
13,1,45.02,-61.73
13,2,44.8,-61.4
13,3,44.21,-63.07
13,4,44.55,-63.25
14,1,44.55,-63.25
14,2,44.21,-63.07
14,3,43.54,-64.8
14,4,43.71,-64.97
15,1,44.21,-63.07
15,2,43.32,-63.63
15,3,43.45,-64.33
15,4,43.54,-64.8
16,1,43.45,-62.75
16,2,42.91,-62.77
16,3,42.79,-63.85
