"name","type","latitude","longitude","index"
"emerald_basin","Petrie Box",44.8,-61.4,1
"emerald_basin","Petrie Box",44.35,-61,2
"emerald_basin","Petrie Box",43.7,-62.15,3
"emerald_basin","Petrie Box",43.71,-62.56,4
"emerald_basin","Petrie Box",43.45,-62.75,5
"emerald_basin","Petrie Box",43.32,-63.63,6
"emerald_basin","Petrie Box",44.21,-63.07,7
"emerald_basin","Petrie Box",44.8,-61.4,8
"georges_basin","Petrie Box",42.79,-67,1
"georges_basin","Petrie Box",42.56,-66.1,2
"georges_basin","Petrie Box",42.18,-66.32,3
"georges_basin","Petrie Box",42.18,-67,4
"georges_basin","Petrie Box",42.18,-67.7,5
"georges_basin","Petrie Box",42.58,-67.75,6
"georges_basin","Petrie Box",42.79,-67,7
"lurcher_shoal","Petrie Box",44.21,-66.5,1
"lurcher_shoal","Petrie Box",43.4,-65.61,2
"lurcher_shoal","Petrie Box",43.16,-65.6,3
"lurcher_shoal","Petrie Box",43.1,-66.52,4
"lurcher_shoal","Petrie Box",44.21,-66.5,5
"misaine_bank","Petrie Box",46.02,-58.5,1
"misaine_bank","Petrie Box",45.82,-58.2,2
"misaine_bank","Petrie Box",45.12,-57.6,3
"misaine_bank","Petrie Box",44.53,-59.35,4
"misaine_bank","Petrie Box",44.66,-60,5
"misaine_bank","Petrie Box",45.41,-60,6
"misaine_bank","Petrie Box",46.02,-58.5,7
"cabot_strait","Petrie Box",46.625,-60.35,1
"cabot_strait","Petrie Box",46.925,-59.9333,2
"cabot_strait","Petrie Box",47.15,-60.2833,3
"cabot_strait","Petrie Box",47.0333,-60.4583,4
"cabot_strait","Petrie Box",46.625,-60.35,5
"cabot_strait","Petrie Box",46.925,-59.9333,6
"cabot_strait","Petrie Box",47.15,-60.2833,7
"cabot_strait","Petrie Box",47.455,-59.8417,8
"cabot_strait","Petrie Box",47.2383,-59.4917,9
"cabot_strait","Petrie Box",47.0033,-59.825,10
"cabot_strait","Petrie Box",46.925,-59.9333,11
"cabot_strait","Petrie Box",47.2383,-59.4917,12
"cabot_strait","Petrie Box",47.455,-59.8417,13
"cabot_strait","Petrie Box",47.8033,-59.3583,14
"cabot_strait","Petrie Box",47.5833,-59.0167,15
"cabot_strait","Petrie Box",47.2383,-59.4917,16
"eastern_georges_bank","Petrie Box",42.18,-67,1
"eastern_georges_bank","Petrie Box",42.18,-66.32,2
"eastern_georges_bank","Petrie Box",41.9,-65.72,3
"eastern_georges_bank","Petrie Box",41.5,-66,4
"eastern_georges_bank","Petrie Box",41.5,-67,5
"eastern_georges_bank","Petrie Box",42.18,-67,6
