record,sname,lname,type,depth,area
1,HL2,Halifax 2,station,149,
2,P5,Prince 5,station,95,
3,BBL1,Browns Bank 1,station,53,
4,BBL2,Browns Bank 2,station,122,
5,BBL3,Browns Bank 3,station,107,
6,BBL4,Browns Bank 4,station,101,
7,BBL5,Browns Bank 5,station,179,
8,BBL6,Browns Bank 6,station,983,
9,BBL7,Browns Bank 7,station,1904,
10,HL1,Halifax 1,station,84,
11,HL2,Halifax 2,station,149,
12,HL3,Halifax 3,station,264,
13,HL4,Halifax 4,station,84,
14,HL5,Halifax 5,station,107,
15,HL6,Halifax 6,station,1035,
16,HL7,Halifax 7,station,2777,
17,LL1,Louisbourg 1,station,85,
18,LL2,Louisbourg 2,station,140,
19,LL3,Louisbourg 3,station,144,
20,LL4,Louisbourg 4,station,102,
21,LL5,Louisbourg 5,station,202,
22,LL6,Louisbourg 6,station,66,
23,LL7,Louisbourg 7,station,728,
24,LL8,Louisbourg 8,station,2868,
25,LL9,Louisbourg 9,station,3672,
26,CSL1,Cabot Strait 1,station,80,
27,CSL2,Cabot Strait 2,station,186,
28,CSL3,Cabot Strait 3,station,340,
29,CSL4,Cabot Strait 4,station,468,
30,CSL5,Cabot Strait 5,station,477,
31,CSL6,Cabot Strait 6,station,260,
32,4VN,NAFO 4VN,nafo,,
33,4VS,NAFO 4VS,nafo,,
34,Yarmouth,Yarmouth,station,,
35,Sydney,Sydney,station,,
36,Saint John,Saint John,station,,
37,Sable Island,Sable Island,station,,
38,Halifax,Halifax,station,,
39,Boston,Boston,station,,
40,Cabot Strait,Cabot Strait,area,,
41,E Georges Bank,East Georges Bank,area,,
42,Emerald Basin,Emerald Basin,area,,
43,Georges Basin,Georges Basin,area,,
44,Lurcher Shoal,Lurcher Shoal,area,,
45,Misaine Bank,Misaine Bank,area,,
46,North Sydney,North Sydney,station,,
47,St.Andrews,St.Andrews,station,,
48,4V,NAFO 4V,nafo,,
49,4W,NAFO 4W,nafo,,
50,4X,NAFO 4X,nafo,,
51,CSS,Central Scotian Shelf,area,,
52,ESS,Eastern Scotian Shelf,area,,
53,GB,Georges Bank,area,,
54,WSS,Western Scotian Shelf,area,,
55,BBL,Brown's Bank Line,section,,
56,CSL,Cabot Strait Line,section,,
57,HL,Halifax Line,section,,
58,LL,Louisburg Line,section,,
59,CS_remote_sensing,Cabot Strait remote sensing box,area,,
60,LS_remote_sensing,Lurcher Shoal remote sensing box,area,,
61,scotian_shelf_grid,Scotian Shelf optimal estimation grid,area,,
62,scotian_shelf_box,Scotian Shelf from Petrie Boxes,area,,
