record,vertice,latitude,longitude
1,1,44.2675,-63.3175
2,1,44.9307,-66.8495
3,1,43.25,-65.48
4,1,43,-65.48
5,1,42.76,-65.483
6,1,42.45,-65.483
7,1,42.133,-65.5
8,1,42,-65.51
9,1,41.867,-65.35
10,1,44.4,-63.45
11,1,44.267,-63.317
12,1,43.883,-62.883
13,1,43.479,-62.451
14,1,43.183,-62.098
15,1,42.85,-61.733
16,1,42.533,-61.4
17,1,45.825,-59.85
18,1,45.658,-59.702
19,1,45.492,-59.517
20,1,45.158,-59.175
21,1,44.817,-58.85
22,1,44.475,-58.508
23,1,44.133,-58.175
24,1,43.783,-57.833
25,1,43.473,-57.527
26,1,46.958,-60.217
27,1,47.023,-60.117
28,1,47.1,-59.992
29,1,47.272,-59.783
30,1,47.433,-59.558
31,1,47.583,-59.342
32,1,45.8,-59.6
32,2,45.8,-57.8
32,3,46,-58
32,4,46.2,-58.4
32,5,46.4,-58.8
32,6,46.6,-59
32,7,46.8,-59.4
32,8,47,-59.8
32,9,47.2,-60
32,10,47.2,-60.4
32,11,47,-60.2
32,12,46.6,-60.2
32,13,46.7,-60
32,14,46.7,-59.6
32,15,46.4,-59.6
32,16,46.2,-59
32,17,46,-59
33,1,43.8,-59
33,2,44,-58.6
33,3,44.2,-57.8
33,4,44.4,-57.2
33,5,44.6,-57
33,6,45.2,-57
33,7,45.4,-57.4
33,8,45.6,-57.6
33,9,45.6,-60
33,10,44.2,-60
33,11,44.2,-59
34,1,43.8,-66
34,2,43.831,-66.088
35,1,43.1,-60
35,2,46.163,-60.042
36,1,45.3,-65.8
36,2,45.316,-65.89
37,1,43.9,-59.9
37,2,43.946,-59.96
38,1,44.8,-63.5
38,2,44.881,-63.509
39,1,42.3606,-71.0106
39,2,42.35,-71.0667
40,1,46.625,-60.35
40,2,46.925,-59.9333
40,3,47.15,-60.2833
40,4,47.0333,-60.4583
40,5,46.925,-59.9333
40,6,47.15,-60.2833
40,7,47.455,-59.8417
40,8,47.2383,-59.4917
40,9,47.0033,-59.825
40,10,47.2383,-59.4917
40,11,47.455,-59.8417
40,12,47.8033,-59.3583
40,13,47.5833,-59.0167
41,1,42.18,-67
41,2,42.18,-66.32
41,3,41.9,-65.72
41,4,41.5,-66
41,5,41.5,-67
42,1,44.8,-61.4
42,2,44.35,-61
42,3,43.7,-62.15
42,4,43.71,-62.56
42,5,43.45,-62.75
42,6,43.32,-63.63
42,7,44.21,-63.07
43,1,42.79,-67
43,2,42.56,-66.1
43,3,42.18,-66.32
43,4,42.18,-67
43,5,42.18,-67.7
43,6,42.58,-67.75
44,1,44.21,-66.5
44,2,43.4,-65.61
44,3,43.16,-65.6
44,4,43.1,-66.52
45,1,46.02,-58.5
45,2,45.82,-58.2
45,3,45.12,-57.6
45,4,44.53,-59.35
45,5,44.66,-60
45,6,45.41,-60
46,1,46.21667,-60.25
47,1,45.0822,-67.0857
48,1,46,-59
48,2,46.2,-59
48,3,46.4,-59.6
